#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
makeLocusGraph_chromId_000_8_0007		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0007.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:78811398-90070168 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_000_8_0008		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0008.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:90070169-101328939 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_000_8_0009		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0009.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:101328940-112587710 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_000_8_0010		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0010.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:112587711-123846481 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_000_8_0011		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0011.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:123846482-135105252 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_000_8_0012		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0012.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:135105253-146364022 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0000		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0000.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:1-11250543 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0001		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0001.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:11250544-22501086 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0002		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0002.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:22501087-33751629 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0003		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0003.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:33751630-45002172 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0004		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0004.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:45002173-56252715 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0005		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0005.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:56252716-67503258 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0006		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0006.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:67503259-78753801 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0007		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0007.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:78753802-90004344 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0008		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0008.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:90004345-101254887 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0009		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0009.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:101254888-112505430 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0010		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0010.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:112505431-123755973 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_001_11_0011		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_11_0011.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 11:123755974-135006516 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
mergeLocusGraphInputList		workflow	0	0	0	0	makeLocusGraph_chromId_001_11_0006,makeLocusGraph_chromId_001_11_0004,makeLocusGraph_chromId_000_8_0010,makeLocusGraph_chromId_000_8_0006,makeLocusGraph_chromId_000_8_0007,makeLocusGraph_chromId_000_8_0004,makeLocusGraph_chromId_000_8_0001,makeLocusGraph_chromId_001_11_0000,makeLocusGraph_chromId_001_11_0010,makeLocusGraph_chromId_001_11_0007,makeLocusGraph_chromId_001_11_0011,makeLocusGraph_chromId_000_8_0000,makeLocusGraph_chromId_000_8_0005,makeLocusGraph_chromId_000_8_0002,makeLocusGraph_chromId_000_8_0012,makeLocusGraph_chromId_000_8_0011,makeLocusGraph_chromId_001_11_0008,makeLocusGraph_chromId_000_8_0008,makeLocusGraph_chromId_001_11_0005,makeLocusGraph_chromId_001_11_0002,makeLocusGraph_chromId_000_8_0009,makeLocusGraph_chromId_001_11_0001,makeLocusGraph_chromId_000_8_0003,makeLocusGraph_chromId_001_11_0003,makeLocusGraph_chromId_001_11_0009		listFileWorkflow
mergeLocusGraph		command	1	4096	0	0	mergeLocusGraphInputList		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/MergeSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin --graph-file-list /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/list.svLocusGraph.txt
checkLocusGraph		command	1	4096	0	0	mergeLocusGraph		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/CheckSVLoci --graph-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin
removeTmpDir		command	1	2048	0	0	mergeLocusGraph		rm -rf /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir
